genome_id	pgs	matched	height_cm	sex
4644.ftdna-illumina.3241	0.819606	13512	179.0	
466.23andme.447	2.223176	17284	175.3	M
4667.ftdna-illumina.3277	-2.667639	13530	160.0	M
4671.23andme.3274	0.280645	12588	169.0	M
4680.23andme.3290	-2.315219	13019	160.0	F
4696.ftdna-illumina.6913	-2.035307	13965	178.0	F
4697.23andme.3305	-4.112196	13027	160.0	
4703.23andme.3308	-1.552417	13025	170.2	
4712.23andme.3311	0.619606	12574	176.0	M
4715.23andme.3315	0.708718	12579	168.0	
4718.23andme.3318	0.898563	12978	172.7	F
4732.ancestry.3349	-1.723117	13840	156.2	
4735.genes-for-good.4081	2.562463	17892	167.6	F
4754.ftdna-illumina.3344	1.268107	13516	180.0	
4756.23andme.3345	0.103361	12553	177.8	
4797.23andme.3381	-1.344638	12569	172.7	M
4801.23andme.3385	-4.801155	12560	172.7	M
4813.23andme.3393	-1.119951	13021	157.5	
4825.23andme.3403	0.841150	12572	186.0	M
4832.ftdna-illumina.3407	0.534184	13795	167.0	M
4834.ancestry.3409	-3.640476	13977	165.1	F
4864.ftdna-illumina.3447	-0.091339	13419	172.7	F
4879.23andme.3436	2.082144	12981	175.0	F
488.23andme-exome-vcf.219	1.179981	2641	160.0	M
4880.ftdna-illumina.3437	2.332718	13547	170.2	M
4897.23andme.5715	-2.877077	12586	172.7	M
4910.ancestry.3463	-0.179801	13438	167.6	M
4939.ancestry.3487	-0.874715	13979	190.5	
4941.23andme.4573	-4.224328	17302	182.0	
4952.23andme.3496	0.000000	0	170.2	
4954.ancestry.3497	-1.912234	13438	172.7	M
4962.23andme.3503	-0.688156	13032	155.0	
4985.23andme.3522	0.703027	13002	165.1	F
4996.ancestry.3535	-1.925853	16458	170.2	
500.23andme.2637	-1.169642	17334	186.0	M
5027.ancestry.3561	-0.234310	15794	180.3	M
503.23andme.274	0.833422	17844	167.6	F
5034.ancestry.3566	1.346171	13851	167.6	F
5044.23andme.3573	0.723492	17610	167.6	F
5048.23andme.3577	0.709831	13026	170.2	F
5066.ancestry.3589	-3.031747	15789	170.2	
5093.23andme.3610	-0.510260	12953	165.0	
5098.23andme.3615	-2.286535	17883	160.0	F
5099.ancestry.3616	-0.796873	14025	172.7	F
5103.ancestry.3619	-2.192337	13981	165.1	
5105.23andme.3621	-3.030955	13009	165.0	F
5107.ancestry.3622	-1.703242	16456	152.4	
5130.23andme.3642	-0.912052	13011	171.0	
5146.23andme.3654	-0.929389	12572	175.3	M
5168.23andme.3676	-0.789734	12976	172.7	
5169.ancestry.3677	3.754918	16454	170.2	F
5180.23andme.3689	-2.409814	12537	175.3	M
5182.23andme.3692	-4.279436	13013	157.5	
5185.23andme.3866	-0.479404	12584	172.7	
5190.23andme.3700	0.198061	12994	157.5	F
5192.genes-for-good.3711	-5.493218	8842	167.6	F
5199.ancestry.3708	-2.599755	13427	188.0	M
5206.23andme.3715	-1.263127	12568	165.1	
5207.23andme.3716	-0.819820	12600	177.0	M
5221.ancestry.4376	0.200521	15797	167.6	M
5226.23andme.3772	-2.745354	13013	172.0	
5233.23andme.3747	-1.651351	13017	170.2	F
5235.23andme.3749	2.733055	16952	188.0	M
5241.ancestry.3756	-1.060141	14029	170.2	F
5249.ancestry.3760	0.407499	16453	167.6	F
5275.ftdna-illumina.3784	-1.142847	13514	160.0	M
5276.23andme.3787	0.070888	13016	162.6	F
5278.ancestry.3789	-0.154409	13973	167.6	F
5283.ftdna-illumina.3791	0.613883	13524	193.0	
5301.ftdna-illumina.3831	1.280869	13521	180.3	
