genome_id	height_cm	sex
2314.23andme.1424	165.1	F
2307.23andme.1417	167.6	F
2297.23andme.1408	157.5	F
2293.23andme.1404	162.6	
2291.23andme.1402	193.0	M
2288.23andme.1401	152.4	F
2287.23andme.1400	172.7	M
2279.23andme.1395	177.8	M
2276.23andme.1393	162.6	
2274.23andme.1390	172.7	M
2238.23andme.1378	170.0	M
1472.23andme.1376	157.5	F
2225.23andme.1370	170.2	
2214.23andme.1361	177.8	
2207.ancestry.1350	190.5	M
2202.23andme.1346	175.0	
2199.23andme.1344	165.1	
2189.23andme.1337	175.3	
2177.23andme.1327	188.0	
2166.23andme.1316	157.0	F
2159.23andme.1311	167.6	F
2158.23andme.1310	162.6	
2153.23andme.1306	182.9	
2151.23andme.1303	195.6	M
2133.23andme.1299	180.0	M
2101.ancestry.1283	175.3	M
2106.23andme.1277	165.1	
2099.23andme.1272	160.0	F
2076.23andme.1251	177.8	M
2075.23andme.1250	160.0	F
2070.23andme.1245	172.7	
2052.23andme.1229	185.4	F
2050.23andme.1228	165.1	F
2034.23andme.1216	172.7	
2031.ftdna-illumina.1213	180.3	M
1952.23andme.1206	180.3	M
